True,Pred,Text
中期,早期,唯四月初吉甲午，王觀于嘗公東宮，納饗于王，王賜公貝五十朋，公賜厥世子效王好貝廿朋，效對公休，用作寶尊彝，烏乎，效不敢不萬年夙夜奔走揚公休，亦其子子孫孫永寶
中期,早期,季𬪰肈作厥文考井叔寶尊彝，子子孫孫其永寶用。
中期,早期,唯二月初吉丁卯，公姞令次𤔲田人，次蔑𤯍，賜馬，賜裘，對揚公姞休，用乍寶彝。
中期,晚期,唯正六月癸未，陳侯因齊曰：皇考孝武桓公恭戴，大謨克成，其惟因齊揚皇考，紹緟高祖黃帝，侎嗣𧻚文，朝問諸侯，答揚厥德，諸侯夤薦吉金，用作孝武𧻚公祭器敦。以烝以嘗，保有齊邦。世萬子孫，永為典常。
中期,晚期,陸融之孫邾公𫒇        ，作厥龢鐘，用敬恤盟祀，祈年眉壽，用樂我嘉賓，及我正卿，揚君靈，君以萬年。
早期,晚期,叔家父作仲姬筐，用盛稻粱，用速先後諸兄，用祈眉老無彊，哲德不忘，孫子之貺。
晚期,早期,魯小𤔲寇封孫𢇚，作其子孟姬𫱥媵盤匜，其眉壽萬年，永寶用之。
晚期,早期,仲殷父鑄𣪕，用朝夕享孝宗室，其子子孫用寶用。
早期,晚期,鑄子叔黑𦣞肈乍寶𣪕，其萬年眉壽，永寶用。
早期,中期,王令辟邢侯出坯，侯于邢，雩若二月，侯見于宗周，亡尤，會王𩜌𬝧京，𫹉祀。雩若翌日，在辟雍，王乘於舟，為大禮，王射大鴻禽，侯乘於赤旂舟，從，死咸，之日，王以侯入于寢，侯賜玄琱戈，雩王在斥，已夕，侯賜赭𢦚臣二百家，齎用王乘車馬、金勒、𧜀衣、芾、舄，唯歸，揚天子休，告亡尤，用恭儀寧侯，𬡿考于邢侯，作冊麥賜金于辟侯，麥揚，用作寶尊彝，用𩰬侯逆造，𬨭明令，唯天子休于麥辟侯之年鑄，孫孫子子其永亡終，終用造德，綏多友，享旋走令。
晚期,中期,唯□月初吉□寅，王在成周𤔲徒淲宮，王賜鮮吉金，鮮拜手𩒨首，敢對揚天子休，用作朕皇考林鐘，用侃喜上下，用樂好賓，用祈多福，孫子永寶。
晚期,早期,交君子叕肇作寶簠，其眉壽萬年，永寶用。
早期,晚期,秦公曰：丕顯朕皇祖，受天命，冪宅禹跡，十又二公，在帝之坯，嚴恭夤天命，保業厥秦，赫吏蠻夏，余雖小子，穆穆帥秉明德，烈烈𧻚𧻚，萬民是敕，咸畜胤士，𫎽𫎽文武，鎮靖不廷，虔敬朕祀，作噚宗彝，以昭皇祖，其嚴遄各，以受純魯多釐，眉壽無疆，畯疐在天，高引有慶，造有四方，宜，西元器，一斗七升小賸升，𣪕，西，一斗七升大半升，蓋。
晚期,早期,唯羌仲虎，擇其吉金，用自作寶簠，其子子孫孫。永寶用享。
早期,晚期,王子剌公之宗婦𨛳𫱲，為宗䵼彝，永寶用，以降大福，保䢃𨛳國。
