True,Pred,Text
中期,早期,王拘駒斥，賜盠駒勇雷騅子。唯王十又二月，辰才甲申王初執駒於𫷫。王乎師豦詔盠，王親詣盠，駒賜兩。拜稽首曰：王弗忘厥舊宗小子，柮皇盠身。盠曰：王倗下，丕其則，萬年保我萬宗。盠曰：余其敢對揚天子之休，余用乍朕文考大仲寶尊彝。盠曰：其萬年，世子子孫孫永寶之。
中期,晚期,𦎫不淑，[UNK-05392-0]乃邦，烏乎，𫌻帝家，以寡子作永寶，子
晚期,中期,唯三年五月，既死霸甲戌，王在周康卲宮。旦，王各大室即位。宰引佑頌，入門，立中廷。尹氏授王命書。王乎史虢甥冊命頌。王曰：頌，令汝官𤔲成周廛廿家，監𤔲新造，廛用宮禦，賜女玄衣黹純、赤芾、朱衡、鑾旂、鋚勒，用事。頌拜𩒨首，受命冊佩以出，返納瑾璋。頌敢對揚天子不顯魯休，用作朕皇考龏叔、皇母龏姒寶尊鼎。用追孝祈匄康𬋴、純佑、通祿、永命，頌其萬年眉壽，㽙臣天子，靈終，子子孫孫寶用。
晚期,早期,齊侯作皇氏孟姬寶盤，其萬年，眉壽無疆。
早期,中期,𬀔作寶𣪘，其萬年用。
晚期,早期,唯九月初吉壬申，嘉子伯昜臚用其吉金，自作寳簠，子子孫孫，永壽用之。
中期,早期,伯百父作周姜寶𣪘，用夙夕享，用祈萬壽。
早期,晚期,曾太保□用吉金，自作□𣪘，用□□□，萬年眉壽，子子孫孫永用之。
晚期,早期,𡙷作皇祖乙公、文公、武伯、皇考龔伯䵼彝。𡙷其熙熙，萬年無彊，靈終、靈命。其子子孫永寶，用享于宗室。
早期,晚期,階侯微逆作簠，永壽用之。
晚期,早期,唯正月初吉丁亥，蔡太師䑂媵許弔姬可母飤繁，用祈眉壽，萬年無彊，子子孫孫永寶用之。
早期,晚期,唯正月初吉丁亥，考叔𪺞父自作尊簠，其眉壽，萬年無疆，永寳用之。
早期,晚期,齊陳曼不敢逸康，肇謹經德，作皇考獻叔饙盤，永保用簠。
晚期,早期,八田日，子叔𤘠父作行器，永祜福。
中期,晚期,㠱仲作倗甥飲壺、匄三壽、懿德、萬年。
中期,早期,唯十又二月既望，辰在壬午，伯屖父休于縣妃，曰：𠭯乃任縣伯室，賜汝婦爵，𠨘之先琱玉、黃[UNK-04269-0]，縣妃奉揚伯屖父休，曰：休伯𦉼𬐝恤縣伯室，賜君我唯賜儔，我不能不眔縣伯萬年保，肆敢肆于彝，曰：其自今日，孫孫子子毋敢忘伯休。
晚期,中期,唯廿又八年，五月既朢庚寅，王在周康穆宮，旦，王各大室，即位，宰頵佑㝨，入門，立中廷，北嚮，史黹授王命書，王乎史淢冊賜㝨：玄衣黹純、赤芾、朱衡、鑾旂、鋚勒、戈琱胾、厚柲、彤蘇，㝨拜𩒨首，敢對揚天子丕顯遐休命，用作朕皇考鄭伯、姬尊鼎，㝨其萬年子孫永寶用。
晚期,早期,仲幾父使幾使于者𥎦，者監，用厥賓作丁寶𣪕。
早期,晚期,十一月丁亥，純裔孫逆，作為皇祖大宗𣪕，以貺永令眉壽。子孫是保。
早期,晚期,魯大𤔲徒厚氏元作膳𥮉，其眉壽萬年無彊，子子孫孫，永寶用之
中期,早期,季𬪰肈作厥文考井叔寶尊彝，子子孫孫其永寶用。
中期,早期,唯二月初吉丁卯，公姞令次𤔲田人，次蔑𤯍，賜馬，賜裘，對揚公姞休，用乍寶彝。
中期,晚期,唯正六月癸未，陳侯因齊曰：皇考孝武桓公恭戴，大謨克成，其惟因齊揚皇考，紹緟高祖黃帝，侎嗣𧻚文，朝問諸侯，答揚厥德，諸侯夤薦吉金，用作孝武𧻚公祭器敦。以烝以嘗，保有齊邦。世萬子孫，永為典常。
中期,晚期,陸融之孫邾公𫒇        ，作厥龢鐘，用敬恤盟祀，祈年眉壽，用樂我嘉賓，及我正卿，揚君靈，君以萬年。
早期,晚期,叔家父作仲姬筐，用盛稻粱，用速先後諸兄，用祈眉老無彊，哲德不忘，孫子之貺。
晚期,早期,魯小𤔲寇封孫𢇚，作其子孟姬𫱥媵盤匜，其眉壽萬年，永寶用之。
早期,晚期,鑄子叔黑𦣞肈乍寶𣪕，其萬年眉壽，永寶用。
早期,晚期,王令辟邢侯出坯，侯于邢，雩若二月，侯見于宗周，亡尤，會王𩜌𬝧京，𫹉祀。雩若翌日，在辟雍，王乘於舟，為大禮，王射大鴻禽，侯乘於赤旂舟，從，死咸，之日，王以侯入于寢，侯賜玄琱戈，雩王在斥，已夕，侯賜赭𢦚臣二百家，齎用王乘車馬、金勒、𧜀衣、芾、舄，唯歸，揚天子休，告亡尤，用恭儀寧侯，𬡿考于邢侯，作冊麥賜金于辟侯，麥揚，用作寶尊彝，用𩰬侯逆造，𬨭明令，唯天子休于麥辟侯之年鑄，孫孫子子其永亡終，終用造德，綏多友，享旋走令。
晚期,中期,唯□月初吉□寅，王在成周𤔲徒淲宮，王賜鮮吉金，鮮拜手𩒨首，敢對揚天子休，用作朕皇考林鐘，用侃喜上下，用樂好賓，用祈多福，孫子永寶。
晚期,中期,□□番作懿伯寶壺，番其萬年，子子孫孫永寶用亯。
早期,中期,唯王于伐楚，伯在炎，唯九月，既死霸丁丑，作册夨令尊宜于王姜，姜賞令貝十朋、臣十家、鬲百人。公尹伯丁父貺于戍，戍冀𤔲訖，令敢揚皇王貯，丁公文報，用稽後人享，唯丁公報，令用深𪠍于皇王，令敢𪠍皇王貯，用作丁公寶𣪕，用尊事于皇宗，用饗王逆造，用匓僚人，婦子後人永寶，雋册。
早期,中期,唯五月，王在斥，戊子，令作冊折貺聖土于相侯，賜金、賜臣，揚王休，唯王十又九祀，用作父乙尊，其永寶，木羊冊。
